2011-02-08 15:27:00 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\cake\libs\debugger.php, line 684]
2011-02-08 15:27:00 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\cake\libs\debugger.php, line 688]
2011-02-08 15:29:24 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\cake\libs\debugger.php, line 688]
2011-02-09 10:13:50 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:13:50 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:13 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:13 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:40 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:40 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:41 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:14:41 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:24:03 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:24:04 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:25:31 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:25:31 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:26:32 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 10:26:32 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 12:58:22 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-02-09 12:58:22 Debug: Notice (8): Undefined variable: dataAtual in [C:\Arquivos de programas\VertrigoServ\www\GiroSaoPaulo\app\views\layouts\default.ctp, line 14]
2011-04-07 11:15:41 Debug: Notice (8): Undefined variable: editoria in [C:\Documents and Settings\Amanda\Desktop\VertrigoServ\www\GiroSaoPaulo\app\views\pages\home.ctp, line 51]
